Hour,Battery,Battery (Load),Biogas,Biomass,CAES,CAES (Load),CSP,Coal,DAC (Load),DSM,DSM (Up),EMob Shift,EMob Shift (Up),Gas CC,Gas CC-CCS,Gas CC-Syn,Gas Other,Geothermal,Geothermal-Advanced,HP Shift,HP Shift (Up),Hydro Dam,Hydro RoR,LAES,LAES (Load),Lignite,Load Shed,Load Shed Ind,Marine,Methanation (Load),Nuclear,Oil,Other NonRES,Other RES,P2G2P,P2G2P (Load),PV Agri,PV Alpine,PV Facade,PV Highway,PV OpenField,PV Roof,Pump,Pump (Load),Waste,Wind Offshore,Wind Onshore,Exports,Imports,Imports (Net),Load (Net),Load (Total)
1199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5984686457634802,-0.00010696244974068219,0.0,0.0,0.0,0.02499987860072389,0.0,0.0,0.0,0.0,0.0,0.0,2.277043984579001,1.834501069535228,0.0,0.0,0.0,1.2453532698175564e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.068219041621712,-1.9697501276083e-06,0.2127993849025611,0.0,0.23665982988148568,-5.3410404652669765,6.186956580706159,0.8459161154391822,7.861839170118514,8.098499
1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09710340353111631,-0.01167861023766783,0.0,0.0,0.0,0.0249998856734203,0.0,0.0,0.0,0.0,0.0,0.0,2.0866941562756627,1.8345010643562696,0.0,0.0,0.0,1.2434374278998395e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6628909191353338,-1.9849505249205e-06,0.2127991502587196,0.0,0.1922198290021741,-5.3908703843158765,7.233432589200227,1.8425622048843506,7.749870170997827,7.942090000000001
1201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2753475781471547,-0.0035054560415370027,0.0,0.0,0.0,0.024999886035232278,0.0,0.0,0.0,0.0,0.0,0.0,2.086433411694732,1.8345010633303485,0.0,0.0,0.0,1.245138436984195e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6628016384736362,-1.9894558613889e-06,0.21279915228536633,0.0,0.2386998242678942,-5.4334048907791255,7.243727800345436,1.81032290956631,7.9036981757321065,8.142398
1202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21942670097835104,-0.0024702800315126645,0.0,0.0,0.0,0.02499988612164751,0.0,0.0,0.0,0.0,0.0,0.0,2.085758717229432,1.8345010629160556,0.0,0.0,0.0,1.2444776902996685e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6628740448081931,-1.9888723785862998e-06,0.21279915123867224,0.0,0.25472982633526065,-5.4182857968167335,7.201605694075481,1.7833198972587478,7.821207173664741,8.075937000000001
1203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0950263643212719,-0.001844905639670852,0.0,0.0,0.0,0.02499988616456303,0.0,0.0,0.0,0.0,0.0,0.0,2.0327855240429327,1.834501062823824,0.0,0.0,0.0,1.2427652418941145e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6631264495807252,-1.9858263949052003e-06,0.212799147642274,0.0,0.2027398275261863,-5.409568505976104,7.2095521535843226,1.7999836476082192,7.661375172473814,7.864115000000001
1204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006044277239723797,-0.0006295422226511875,0.0,0.0,0.0,0.02499988462271621,0.0,0.0,0.0,0.0,0.0,0.0,2.024498475960044,1.8345010586586528,0.0,0.0,0.0,1.222760612071401e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.662858306409076,-1.9835463471402e-06,0.21279911733176643,0.0,0.21098983409667763,-5.450140169186456,6.957499759510394,1.5073595903239374,7.272429165903325,7.483419000000001
1205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017371769891789474,-0.0006700506382161187,0.0,0.0,0.0,0.02499988434071316,0.0,0.0,0.0,0.0,0.0,0.0,2.0245294786821124,1.8345010583838697,0.0,0.0,0.0,1.2220311905795555e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6627867425616796,-1.9808765147048e-06,0.21279910136622682,0.0,0.24354983294523344,-5.466939040595125,6.856150221596618,1.389211181001493,7.1655271670547664,7.409077
1206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00098694285304829,-0.007739251762712116,0.0,0.0,0.0,0.0249998849471462,0.0,0.0,0.0,0.0,0.0,0.0,2.0211330734013164,1.834501055087596,0.0,0.0,0.0,1.223117192505887e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6625731664895012,-1.9893448157651e-06,0.21279838224647823,0.0,0.34755983220613806,-5.419581456099929,6.825742377942931,1.4061609218430013,7.1554121677938625,7.502972000000001
1207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019624803366488572,-0.0006131813160530683,0.0,0.0,0.0,0.02499988644340968,0.0,0.0,0.0,0.0,0.0,0.0,2.0241587404158774,1.834501058239816,0.0,0.0,0.0,1.2138384212596408e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1726197906645295,0.0,0.0,0.0,0.6536104850744079,1.6623981471622644,-1.9952893193031e-06,0.20969882785219615,0.0,0.2577098665902378,-5.423218433506988,6.587837033493119,1.164618599986131,6.9393848576708255,8.023325
1208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.358665303490389,-0.1243138284657797,0.0,0.0,0.0,0.0249998830931833,0.0,0.0,0.0,0.0,0.0,0.0,1.6145263167195973,1.8345009301697597,0.0,0.0,0.0,1.2052565609350752e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.211019779479981,0.0,0.0,0.0,3.4723753986874035,0.2547025532626604,-2.3616151605818997e-06,0.20289907266718485,0.0,0.27370984700598777,-6.299997618747549,5.727110754886192,-0.5728868638613558,3.5930909748266293,8.550196000000001
