EGID,GBAUJ,GKODN,GKODE,TMPIDX,TSN,HBLD,CBLD,HHTR,THKM8,THK15,PRT,GEBF,GAREA,HPTYP,ISHP,ISRSD,ISRTF,QRTnew
190037237,2003.0,46.86262797434257,8.771203560603697,400,81,0.3999,38.75,0.4463999999999999,45.0,25,19.589089691073355,465.0,155.0,1,0,1,0,12.876779999999998
190037589,2003.0,46.85903379403022,8.771136478671254,400,81,0.2838,45.83333333333334,0.3167999999999999,45.0,25,12.19970644774151,330.0,110.0,1,0,1,0,9.138359999999999
190058753,2004.0,46.86431623107847,8.772065130913854,400,81,0.1634,15.833333333333332,0.1823999999999999,45.0,25,9.107959617234348,190.0,95.0,1,0,1,0,5.261479999999999
190058772,2004.0,46.866599964067106,8.770173675796853,400,81,0.3483,56.25,0.3888,45.0,25,15.907805220416725,405.0,135.0,1,0,1,0,11.215259999999999
190058900,2004.0,46.87350895481894,8.765818803776819,400,81,0.473,76.3888888888889,0.5279999999999999,45.0,25,35.723271887240244,550.0,275.0,1,0,0,0,15.230599999999999
190102566,1963.0,46.8738572095584,8.767757967456287,400,81,0.0272,11.111111111111107,0.044,37.5,20,5.79293084885566,80.0,80.0,1,0,0,0,0.8758399999999998
190122212,2006.0,46.86432187326882,8.771496118579616,400,81,0.1788799999999999,17.333333333333332,0.1996799999999999,45.0,25,8.670745219496464,208.0,104.0,1,0,1,0,5.759935999999996
190122231,2006.0,46.9024703431996,8.812251033240225,400,107,0.1780199999999999,17.25,0.1987199999999999,45.0,25,14.702686554060614,207.0,207.0,1,0,0,0,5.732243999999997
190154932,2007.0,46.86219411605471,8.768925651148512,400,81,0.0473,7.6388888888888875,0.0527999999999999,45.0,25,3.683856771967753,55.0,55.0,1,0,0,0,1.5230599999999999
190154942,2008.0,46.87183256275138,8.764090394672895,400,81,0.19264,18.666666666666664,0.2150399999999999,45.0,25,10.311762353190824,224.0,112.0,0,0,1,0,6.2030080000000005
190167338,1997.0,46.866675417137394,8.759288118476423,400,81,0.23712,17.333333333333332,0.18928,55.0,25,8.445831708413536,208.0,104.0,0,0,1,0,7.635263999999999
190167379,1940.0,46.86270461828368,8.77019140133331,400,81,0.2154599999999999,17.5,0.13482,65.0,25,4.6705697268885045,126.0,63.0,1,0,1,0,6.937811999999996
190170119,2001.0,46.86529879068744,8.786182618869972,400,81,0.2924,28.33333333333333,0.3263999999999999,45.0,25,16.99247735727409,340.0,170.0,1,0,1,0,9.41528
190170293,1989.0,46.86290912715464,8.770312883676349,400,81,0.13566,16.52777777777778,0.10829,55.0,25,4.232791230289019,119.0,119.0,1,0,1,0,4.368252
190198922,2002.0,46.86028819042686,8.771121056270593,400,81,0.15136,4.888888888888889,0.16896,45.0,25,10.187884678155918,176.0,88.0,1,1,1,0,4.873792
190204215,2013.0,46.86508074229922,8.776992345913676,400,81,0.02958,2.416666666666667,0.04785,37.5,20,5.647237424358636,87.0,87.0,1,0,0,0,0.9524759999999999
190287030,2009.0,46.864880268190454,8.760782571212525,400,81,0.2322,22.5,0.2592,45.0,25,11.767585714715738,270.0,135.0,0,0,1,0,7.476839999999999
190555629,2010.0,46.87089427463646,8.763183860446725,400,81,0.07547999999999999,30.833333333333336,0.1221,37.5,20,8.50012786324686,222.0,111.0,1,1,1,0,2.4304559999999995
190556068,2011.0,46.870913417641326,8.781536654078225,400,81,0.13566,33.25,0.21945,37.5,20,16.70576546064294,399.0,133.0,0,0,1,0,4.368252
190691790,2011.0,46.871531381304884,8.775306272285691,400,81,0.10812,44.16666666666667,0.1749,37.5,20,11.057913254268437,318.0,106.0,1,1,1,0,3.4814639999999994
190691811,2011.0,46.86723681549748,8.760243642165952,400,81,0.17135999999999998,70.0,0.2772,37.5,20,15.834176770046016,504.0,168.0,0,0,1,0,5.517791999999999
190691913,2011.0,46.86371671843835,8.779040892652494,400,81,0.068,27.777777777777786,0.11,37.5,20,7.579278915554153,200.0,100.0,0,0,1,0,2.1896
190752489,2011.0,46.86458823178744,8.772105476642935,400,81,0.09996,8.166666666666668,0.1617,37.5,20,18.952299913263854,294.0,98.0,0,0,1,0,3.218711999999999
190898889,2012.0,46.864320274149506,8.771794683470977,400,81,0.05848,14.333333333333332,0.0946,37.5,20,7.606217538582988,172.0,86.0,0,0,1,0,1.8830559999999998
190989470,2012.0,46.86228920168777,8.77129130107514,400,81,0.17238,42.25,0.27885,37.5,20,21.248777025655087,507.0,169.0,1,1,1,0,5.550636
191130853,2013.0,46.8664994041731,8.759863426695052,400,81,0.18462,75.41666666666667,0.29865,37.5,20,18.36970500940064,543.0,181.0,1,0,1,0,5.944764
191169553,1964.0,46.83527460272703,8.753112948099952,399,81,0.16082,25.972222222222232,0.1795199999999999,45.0,25,11.245123755318987,187.0,187.0,1,0,0,0,5.178404
191169570,1995.0,46.83315650424965,8.752460339666662,399,81,0.22116,26.94444444444445,0.17654,55.0,25,15.183975522330227,194.0,194.0,0,0,0,0,7.121351999999999
191169671,2013.0,46.863892473015824,8.761285867338772,400,81,0.05406,13.25,0.08745,37.5,20,12.575929630994654,159.0,159.0,1,0,0,0,1.7407319999999997
191169711,2014.0,46.854249855290156,8.788030378950511,400,81,0.05644,13.833333333333332,0.0913,37.5,20,7.946910736712433,166.0,83.0,0,0,1,0,1.8173679999999999
191438571,2015.0,46.86462189143618,8.760584427954813,400,81,0.06732,27.5,0.1089,37.5,20,7.8177827630774095,198.0,99.0,1,0,1,0,2.167704
191438672,2016.0,46.862079849912824,8.770315774486999,400,81,0.39984,163.33333333333334,0.6468,37.5,20,39.06218742708722,1176.0,294.0,1,0,1,0,12.874847999999997
191479671,1915.0,46.86405023632822,8.813256381572543,400,81,0.1197,9.722222222222225,0.0749,65.0,25,2.759502677386233,70.0,70.0,1,0,1,0,3.8543399999999997
191479753,1918.0,46.87347978988762,8.821188635138618,400,107,0.1402199999999999,11.388888888888893,0.08774,65.0,25,3.094614159127291,82.0,41.0,1,0,1,0,4.515083999999996
191502211,1983.0,46.84032518511236,8.757593146291082,399,81,0.5266799999999999,64.16666666666667,0.42042,55.0,25,16.301255825645626,462.0,231.0,0,1,1,0,16.959095999999995
191502231,1919.0,46.82771884217227,8.758608834456565,399,81,0.0632699999999999,3.083333333333333,0.03959,65.0,25,1.660649541492365,37.0,37.0,1,0,1,0,2.0372939999999966
191502251,1920.0,46.878952330111,8.766672512427036,400,81,0.2804399999999999,13.666666666666664,0.17548,65.0,25,8.108206374848795,164.0,82.0,0,0,1,0,9.030167999999996
191502253,1900.0,46.87545553621902,8.80124996279619,400,81,0.08892,1.4444444444444446,0.05564,65.0,25,2.7589633747922218,52.0,52.0,0,0,1,0,2.8632239999999998
191502271,1765.0,46.873557010813144,8.820998593548445,400,107,0.32148000000000004,26.11111111111111,0.20116,65.0,25,7.514708733261484,188.0,94.0,1,0,1,0,10.351656
191502291,1991.0,46.87302106741424,8.838505768977994,400,107,0.16728,68.33333333333334,0.2706,37.5,20,17.202545532079142,492.0,246.0,0,0,1,1,5.386416
191502312,2001.0,46.87629309512575,8.810448979876114,400,107,0.15136,24.44444444444445,0.16896,45.0,25,6.9218901593239055,176.0,88.0,1,0,1,0,4.873792
191502352,1906.0,46.87386079224,8.829126042952906,400,107,0.1881,9.166666666666666,0.1177,65.0,25,4.4257281030083035,110.0,55.0,0,0,1,0,6.056819999999999
191502371,1901.0,46.87398536842606,8.830602041127648,400,107,0.19152,15.555555555555555,0.11984000000000003,65.0,25,3.4156000335014096,112.0,112.0,1,0,1,0,6.166944
191502373,1972.0,46.87418736416437,8.830482108399455,400,107,0.71136,57.77777777777778,0.44512,65.0,25,15.805918364286118,416.0,208.0,0,0,1,0,22.905791999999998
191502391,1964.0,46.87444126621868,8.811757690349586,400,107,0.8037,65.27777777777779,0.5029,65.0,25,15.545744913550685,470.0,235.0,1,1,1,0,25.879139999999996
191502392,1910.0,46.864524890747006,8.818777661445083,400,107,0.2120399999999999,17.22222222222222,0.13268,65.0,25,4.234355541809462,124.0,62.0,1,0,1,0,6.827687999999996
191502411,1993.0,46.86583873193186,8.820026760677582,400,107,0.16188,11.833333333333332,0.12922,55.0,25,6.066476343600285,142.0,71.0,1,1,1,0,5.212535999999999
191502412,1890.0,46.8650721409341,8.815354036941734,400,107,0.19494,15.833333333333336,0.12198,65.0,25,4.421947000027648,114.0,57.0,0,1,1,0,6.277068
191502413,1900.0,46.86436200686402,8.818629918393686,400,107,0.16416,8.0,0.10272,65.0,25,4.509356998227796,96.0,48.0,1,0,1,0,5.285951999999999
191502414,1835.0,46.84789424948287,8.759638977476834,400,81,0.2120399999999999,10.333333333333332,0.13268,65.0,25,4.966738570459829,124.0,62.0,1,0,1,0,6.827687999999996
191502415,1900.0,46.87533000964799,8.80131235517209,400,81,0.2889899999999999,14.083333333333332,0.18083,65.0,25,8.134561547741983,169.0,169.0,1,1,1,0,9.305477999999995
191502416,1730.0,46.86489392317748,8.817842577647967,400,107,0.06156,5.0,0.03852,65.0,25,1.4305335885122563,36.0,36.0,1,1,1,0,1.9822319999999998
191502651,1875.0,46.86547825926729,8.819631308385627,400,107,0.2154599999999999,17.5,0.13482,65.0,25,3.883155906475648,126.0,63.0,1,0,1,0,6.937811999999996
191502653,1901.0,46.87287995766774,8.821905762586859,400,107,0.23256,18.88888888888889,0.14552,65.0,25,4.656352750465472,136.0,68.0,1,0,1,0,7.4884319999999995
191502672,1902.0,46.846912338799285,8.759565328038214,400,81,0.0769499999999999,3.75,0.04815,65.0,25,2.1078935707195825,45.0,45.0,1,0,1,0,2.4777899999999966
191502692,1830.0,46.84247752981529,8.755228928171388,399,81,0.05643,2.75,0.03531,65.0,25,1.4571226552992742,33.0,33.0,1,0,1,0,1.817046
191502711,1940.0,46.87324121676796,8.821094750309243,400,107,0.4138199999999999,33.611111111111114,0.25894,65.0,25,7.483160112423952,242.0,121.0,0,1,1,0,13.325003999999996
191502731,1984.0,46.865262279201914,8.819432785053404,400,107,0.1368,16.666666666666668,0.1092,55.0,25,4.493642443686163,120.0,40.0,1,0,1,0,4.40496
191502771,2003.0,46.846621547624856,8.760297460424317,400,81,0.44548,43.16666666666666,0.4972799999999999,45.0,25,22.165581655156213,518.0,259.0,1,0,1,0,14.344456
191502811,1911.0,46.87433679223186,8.831207937104294,400,107,0.1026,8.333333333333334,0.0642,65.0,25,2.182286022633006,60.0,60.0,0,0,1,0,3.3037199999999993
191502831,1899.0,46.87410558434087,8.821473480240126,400,107,0.2530799999999999,20.555555555555557,0.15836,65.0,25,4.737532114576209,148.0,74.0,1,1,1,0,8.149175999999997
191502851,1900.0,46.85621822490774,8.75624610958627,400,81,0.0854999999999999,6.9444444444444455,0.0535,65.0,25,1.6751271035685138,50.0,25.0,1,0,1,0,2.7530999999999963
191502871,1990.0,46.86603702685972,8.819970986851516,400,107,0.22116,26.94444444444445,0.17654,55.0,25,6.5056265893740965,194.0,97.0,0,0,1,0,7.121351999999999
191502872,1913.0,46.83115153731195,8.771179645238277,400,81,0.09576,4.666666666666666,0.059920000000000015,65.0,25,2.6751473330802247,56.0,28.0,1,0,1,0,3.083472
191502891,1900.0,46.83487497813714,8.75194540479288,399,81,0.3077999999999999,25.0,0.1926,65.0,25,6.446184132157612,180.0,90.0,1,0,1,0,9.911159999999997
191502911,1983.0,46.87369269018446,8.837840267035633,400,107,0.44688,54.444444444444464,0.35672,55.0,25,14.48144697825988,392.0,196.0,0,0,1,0,14.389535999999998
191502912,1940.0,46.880491716823606,8.767485204598154,400,81,0.0461699999999999,2.25,0.02889,65.0,25,1.2335421489439369,27.0,27.0,1,0,1,0,1.4866739999999967
191502914,1901.0,46.85677763543235,8.78806985069008,400,81,0.4138199999999999,33.611111111111114,0.25894,65.0,25,9.554138308906133,242.0,121.0,1,0,1,0,13.325003999999996
191503051,1905.0,46.863800946362076,8.813385208246046,400,81,0.22572,11.0,0.14124,65.0,25,6.397906781583584,132.0,66.0,0,0,1,0,7.268184
191503071,1915.0,46.871226929279096,8.84362900051665,400,107,0.36765,29.86111111111111,0.23005,65.0,25,7.547843306794126,215.0,215.0,0,0,1,0,11.83833
191503091,1900.0,46.86415632217532,8.813281337933066,400,81,0.07353,3.583333333333333,0.04601,65.0,25,1.8971252406672647,43.0,43.0,0,0,1,0,2.367666
191503092,2001.0,46.84568082320522,8.774444843072022,400,81,0.2459599999999999,23.83333333333333,0.2745599999999999,45.0,25,12.60813276185478,286.0,143.0,0,0,1,0,7.919911999999996
191503111,1975.0,46.842837632085285,8.778925550473991,400,81,0.07866000000000001,3.833333333333333,0.04922,65.0,25,2.2937543413415926,46.0,46.0,1,0,1,0,2.532852
191503134,2002.0,46.87869686909937,8.780235021836496,400,81,0.79464,128.33333333333334,0.8870399999999999,45.0,25,28.417071143113585,924.0,308.0,1,0,1,0,25.587407999999996
191503136,1900.0,46.880744157631035,8.767341364608143,400,81,0.02394,1.1666666666666663,0.014980000000000004,65.0,25,0.6947792769304179,14.0,14.0,1,0,1,0,0.770868
191503151,1910.0,46.83848782868015,8.756428903564977,399,81,0.1368,11.111111111111107,0.0856,65.0,25,2.6431920642717186,80.0,40.0,0,0,1,0,4.40496
191503152,1983.0,46.87852034707749,8.780205848449322,400,81,0.0923399999999999,6.75,0.07371,55.0,25,6.154988276647716,81.0,81.0,1,0,0,0,2.9733479999999965
191503154,1989.0,46.83453299792719,8.753017994553234,399,81,0.1139999999999999,8.333333333333332,0.091,55.0,25,4.617444941186043,100.0,50.0,1,0,1,0,3.6707999999999963
191503155,1910.0,46.84552453001261,8.774332722927964,400,81,0.23256,18.88888888888889,0.14552,65.0,25,4.865047769192125,136.0,68.0,1,1,1,0,7.4884319999999995
191503156,1900.0,46.842058088609285,8.757699574117716,399,81,0.15732000000000002,12.777777777777779,0.09844,65.0,25,3.6184661802303215,92.0,46.0,1,0,1,0,5.065704
191503171,1890.0,46.82910750598898,8.757772648386936,399,81,0.1077299999999999,5.25,0.06741,65.0,25,3.0393357536223538,63.0,63.0,1,0,1,0,3.4689059999999965
191503172,1978.0,46.82929498604408,8.757666660148544,399,81,0.34884,17.0,0.21828000000000006,65.0,25,8.269581059008358,204.0,102.0,1,0,1,0,11.232647999999998
191503191,1915.0,46.85646356155077,8.756816055216401,400,81,0.1538999999999999,7.5,0.0963,65.0,25,4.024637490423049,90.0,45.0,1,0,1,0,4.955579999999996
191503192,1978.0,46.84244388782596,8.758469229351602,400,81,0.16416,13.333333333333336,0.10272,65.0,25,3.1048826413001,96.0,48.0,1,0,1,0,5.285951999999999
191503195,1900.0,46.83810843146982,8.766521603974066,400,81,0.22572,18.333333333333336,0.14124,65.0,25,4.0167894873727805,132.0,66.0,1,0,1,0,7.268184
191503231,1975.0,46.84248986452522,8.758819554229023,400,81,0.27018000000000003,13.166666666666664,0.16906,65.0,25,6.710585642249392,158.0,79.0,0,0,1,0,8.699796
191503232,1786.0,46.84706466248523,8.773402822179541,400,81,0.1402199999999999,6.833333333333332,0.08774,65.0,25,3.7012132881058863,82.0,82.0,1,0,1,0,4.515083999999996
191503233,1975.0,46.842491360374325,8.758147523432408,400,81,0.12996,6.333333333333332,0.08132,65.0,25,3.315969384940297,76.0,38.0,1,0,1,0,4.184711999999999
191503234,1979.0,46.84172623007932,8.771819244854134,400,81,0.7182,58.33333333333334,0.4494,65.0,25,14.432800692280233,420.0,210.0,0,0,1,0,23.12604
191503235,1970.0,46.83381027390679,8.783070129363093,400,81,0.02052,1.6666666666666667,0.01284,65.0,25,0.4550891929920684,12.0,12.0,0,1,1,0,0.6607439999999999
191503237,1997.0,46.83360243044071,8.784677392118526,400,81,0.1824,13.333333333333332,0.1456,55.0,25,7.082878127787371,160.0,80.0,1,0,1,0,5.87328
191503238,2002.0,46.84629282057565,8.760688937040019,400,81,0.0946,9.166666666666666,0.1055999999999999,45.0,25,5.0323279334506115,110.0,55.0,1,0,1,0,3.0461199999999997
191503240,1900.0,46.854462456054144,8.817533193439083,400,107,0.1265399999999999,10.277777777777779,0.07918,65.0,25,2.457084531686435,74.0,74.0,1,0,1,0,4.074587999999997
